D,d,theta,z,Delta,U,nh,A,m2,status,message,W,u_star_proxy,Phi_at_ustar,relative_portal_shift
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.10416666666666667,9.6,0.023411120916416433,0.000548080582563071
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.10625000000000001,9.411764705882351,0.023989489126201607,0.0005754955885361451
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.10833333333333334,9.23076923076923,0.024570247013473514,0.0006036970383031041
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.11041666666666666,9.056603773584905,0.02515334474314811,0.0006326907517676567
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.1125,8.88888888888889,0.025738734224047564,0.0006624824394561574
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.11458333333333333,8.727272727272728,0.02632636835226327,0.0006930776706190491
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.11666666666666667,8.571428571428571,0.026916201748034867,0.0007244819165409152
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.11875000000000001,8.421052631578947,0.027508189843293614,0.0007567005084546819
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.12083333333333333,8.275862068965518,0.028102289676192767,0.0007897386850446506
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.12291666666666667,8.135593220338983,0.0286984590480657,0.000823601551733504
