alpha_dm,gamma,mu_ratio,stress,fd,old_mu,old_stress
0.888,-0.6491504099422651,0.794370469333977,0.8449506906994795,0.29646641696603265,0.8960267853139213,0.802864
0.892,-0.6522852230323691,0.7922398637702006,0.8436375932415142,0.2984799523450378,0.8950329602869382,0.801084
0.896,-0.6554085456062573,0.7901011841201637,0.8423143047905028,0.3004842419922694,0.8940335564172074,0.799296
0.9,-0.6585201964538684,0.7879545482347795,0.8409806723291597,0.30247912478602196,0.8930285549745876,0.7975
0.904,-0.661619997251743,0.7858000743445405,0.8396365432478208,0.30446444418130975,0.8920179370393848,0.795696
0.908,-0.6647077726080945,0.7836378810117615,0.8382817654374645,0.30644004821076115,0.8910016835000931,0.793884
0.912,-0.6677833501056577,0.7814680870830913,0.8369161873819756,0.3084057894819871,0.8899797750510963,0.792064
0.916,-0.6708465603422986,0.7792908116423227,0.8355396582495477,0.31036152517150417,0.8889521921903337,0.7902359999999999
0.92,-0.6738972369693804,0.7771061739635444,0.8341520279831353,0.312307117015301,0.8879189152169246,0.7884
0.924,-0.6769352167278772,0.7749142934646654,0.8327531473898595,0.31424243129613577,0.8868799242287537,0.786556
0.928,-0.679960339482239,0.7727152896613473,0.8313428682292838,0.3161673388276598,0.8858351991200168,0.784704
0.932,-0.6829724482520025,0.7705092821213779,0.8299210433004678,0.3180817149354586,0.8847847195787233,0.782844
0.936,-0.6859713892411569,0.7682963904195177,0.8284875265277198,0.3199854394351087,0.8837284650841569,0.780976
0.9400000000000001,-0.6889570118652673,0.7660767340928477,0.8270421730449669,0.32187839660734824,0.8826664149042943,0.7790999999999999
0.9440000000000001,-0.6919291687763671,0.7638504325966522,0.8255848392786638,0.32376047517045947,0.8815985480931783,0.7772159999999999
0.9480000000000001,-0.6948877158856318,0.761617605260859,0.8241153830291716,0.3256315682499671,0.8805248434882459,0.7753239999999999
0.9520000000000001,-0.6978325123838461,0.7593783712470688,0.8226336635505292,0.32749157334575113,0.8794452797076121,0.773424
0.9560000000000001,-0.700763420759684,0.7571328495061957,0.821139541628556,0.32934039229667894,0.8783598351473045,0.771516
0.96,-0.7036803068158197,0.7548811587367452,0.8196328796572193,0.3311779312428602,0.8772684879784524,0.7696000000000001
0.964,-0.7065830396828932,0.7526234173437492,0.8181135417132079,0.3330041005856269,0.8761712161444246,0.767676
0.968,-0.7094714918313487,0.7503597433983851,0.816581393628654,0.3348188149453426,0.8750679973579196,0.765744
0.972,-0.712345539081182,0.7480902545982924,0.815036303061951,0.3366219931171471,0.8739588090980033,0.763804
0.976,-0.7152050606096146,0.7458150682286102,0.8134781395666187,0.3384135580247363,0.8728436286070947,0.761856
0.98,-0.718049938956731,0.743534301123752,0.8119067746581687,0.34019343667228347,0.8717224328879004,0.7599
0.984,-0.7208800600291088,0.7412480696299325,0.8103220818789284,0.34196156009460277,0.8705951987002915,0.7579359999999999
