point_key,delta2,alpha_dm,mu_X,mu_c,w0,success,message,residual_inf,temperature,mu,source,vev,rho,rho_d,epsilon,p_bar,Omega_ren,minus_p_bar,psi_abs,psi_sq,mu_minus_mu_c,accepted
d0.18_a0.0_nu0.5,0.18,0.0,0.5,3.4859916787957794,0.04,True,,6.661338147750939e-16,0.08141049957480519,3.48673574272745,-3.3393426912553537e-17,0.09565550404782355,1.2554873291597979,0.1800119244710274,3.7183793440717636,1.2294196648572324,-1.2606964180652063,-1.2294196648572324,0.09565550404782355,0.009149975454643189,0.0007440639316707021,True
d0.18_a0.0_nu0.5,0.18,0.0,0.5,3.4859916787957794,0.06,True,,6.661338147750939e-16,0.08142406516239108,3.487092625180979,-5.117434254131581e-17,0.14351065332855711,1.2559439835994748,0.18002682986506732,3.7199534421342833,1.2299469415538624,-1.2612554655275683,-1.2299469415538624,0.14351065332855711,0.0205953076187893,0.0011009463851996415,True
d0.18_a0.0_nu0.5,0.18,0.0,0.5,3.4859916787957794,0.08,True,,7.771561172376096e-16,0.08144305285645362,3.487592336422823,4.7704895589362195e-18,0.19139868732731968,1.2565835262813445,0.18004769896739298,3.7221581779422195,1.2306854665703213,-1.262038540954981,-1.2306854665703213,0.19139868732731968,0.03663345751062108,0.0016006576270437556,True
d0.18_a0.0_nu1.0,0.18,0.0,1.0,3.4510332759970006,0.02,True,,2.298161660974074e-14,0.07171568904217789,3.451528150417647,-2.0275339566999673e-14,0.04580314879653968,1.242614041064791,0.3600061249400378,3.808079864100364,1.2589100556660924,-1.2914465673631015,-1.2589100556660924,0.04580314879653968,0.002097928439677955,0.0004948744206463296,True
d0.18_a0.0_nu1.0,0.18,0.0,1.0,3.4510332759970006,0.04,True,,1.5543122344752192e-15,0.07172333399145986,3.4517439202989944,-3.5344990823027445e-17,0.09161726667576041,1.242883484278811,0.36002450501468236,3.8090136357477604,1.2592224268619248,-1.291777378083413,-1.2592224268619248,0.09161726667576041,0.0083937235531374,0.0007106443019937458,True
d0.18_a0.0_nu1.0,0.18,0.0,1.0,3.4510332759970006,0.06,True,,9.992007221626409e-16,0.07173607559355263,3.4521035592398017,-3.2959746043559335e-17,0.13745332638792446,1.2433326516962027,0.360055137516617,3.810570375977477,1.2597431992780912,-1.2923288899427956,-1.2597431992780912,0.13745332638792446,0.01889341693510529,0.0010702832428011178,True
d0.18_a0.0_nu1.0,0.18,0.0,1.0,3.4510332759970006,0.08,True,,6.661338147750939e-16,0.07175391149305647,3.4526071181139577,-5.767955557622884e-17,0.1833223053705351,1.243961701909334,0.3600980237047235,3.812750794861131,1.2604726127156027,-1.2931013779427498,-1.2604726127156027,0.1833223053705351,0.03360706764636772,0.0015738421169571026,True
d0.18_a0.0_nu1.5,0.18,0.0,1.5,3.3881624397852446,0.02,True,,6.661338147750939e-16,0.056064056805889675,3.388597944326269,-4.098284211995207e-17,0.042156316013889625,1.2199560606170923,0.5400096602774594,3.9545411691915433,1.3070715967423894,-1.3416747783837462,-1.3070715967423894,0.042156316013889625,0.0017771549798629269,0.00043550454102447844,True
d0.18_a0.0_nu1.5,0.18,0.0,1.5,3.3881624397852446,0.04,True,,1.3322676295501878e-15,0.056070849546828415,3.38881666551593,4.662069341687669e-18,0.08432363375326885,1.220217240100029,0.5400386456155414,3.9554564388026847,1.3073770736427832,-1.3419975864551688,-1.3073770736427832,0.08432363375326885,0.007110475209355421,0.0006542257306856314,True
d0.18_a0.0_nu1.5,0.18,0.0,1.5,3.3881624397852446,0.06,True,,2.886579864025407e-15,0.05608216624932308,3.3891812605010037,4.466912950640278e-17,0.12651295443330007,1.2206526695217397,0.5400869618075484,3.9569823957235712,1.307886372406756,-1.342535843083906,-1.307886372406756,0.12651295443330007,0.01600552763944226,0.0010188207157590945,True
d0.18_a0.0_nu1.5,0.18,0.0,1.5,3.3881624397852446,0.08,True,,2.886579864025407e-15,0.056098009097113495,3.3896917494143386,-1.968911145233676e-16,0.16873528982787167,1.2212624761384911,0.5401546006559585,3.9591196994970232,1.3085997161970226,-1.3432897272438937,-1.3085997161970226,0.16873528982787167,0.028471598033295853,0.0015293096290940333,True
d0.18_a0.0_nu2.0,0.18,0.0,2.0,3.287457639274481,0.02,True,,6.661338147750939e-16,0.03549407324314614,3.2878071683835826,6.380529785077194e-17,0.03623799462721104,1.183666235263574,0.7200140087573259,4.147022764385838,1.3703675524739083,-1.4076874258952925,-1.3703675524739083,0.03623799462721104,0.0013131922546017764,0.00034952910910135415,True
