D,d,theta,z,mu,F_aniso,F_iso,DeltaF,T_deltaF,quad_err,success,solver_message
5,3,0.5,2.5,12.503057705248269,-390.8356295706325,-390.81612995192023,-0.019499618712245592,-0.019497147608066992,8.26321574257105e-06,True,The algorithm converged to the desired accuracy.
5,3,0.5,3.0,15.02578296808711,-620.9129300012476,-620.8789229611559,-0.034007040091637464,-0.033993936679766655,1.7527764586897088e-05,True,The algorithm converged to the desired accuracy.
5,3,0.5,4.0,19.972134890696747,-1296.4639921046091,-1296.3800592996058,-0.08393280500331457,-0.08373626456208237,0.001215080005062541,True,The algorithm converged to the desired accuracy.
5,3,0.5,5.0,24.8074524784891,-2307.9594228357914,-2307.7863692718565,-0.1730535639349,-0.1713465006798368,6.609968419191148e-05,True,The algorithm converged to the desired accuracy.
5,3,1.0,1.0,5.679657598476133,-80.650294796764,-80.6462760898192,-0.004018706944805217,-0.0040186853108985406,7.95136031031974e-06,True,The algorithm converged to the desired accuracy.
5,3,1.0,1.5,8.102177520140868,-180.53440770703256,-180.52452156165907,-0.009886145373485533,-0.009885823309068944,2.9998753881294027e-05,True,The algorithm converged to the desired accuracy.
5,3,1.0,2.0,10.55780385340002,-334.4216242051435,-334.401666620605,-0.019957584538474293,-0.019954935224129697,9.036801311378129e-05,True,The algorithm converged to the desired accuracy.
5,3,1.0,2.5,13.018147761087443,-550.8201178268349,-550.7845561708945,-0.03556165594045524,-0.03554667272444554,0.0001489004130522109,True,The algorithm converged to the desired accuracy.
5,3,1.0,3.0,15.469814793497024,-837.661569154482,-837.6030941078478,-0.05847504663415748,-0.058408489150739304,0.0010733827651834282,True,The algorithm converged to the desired accuracy.
5,3,1.0,4.0,20.327980956689714,-1653.039500538522,-1652.9072391021587,-0.13226143636325105,-0.13149557453717362,0.00040165148130721917,True,The algorithm converged to the desired accuracy.
5,3,1.0,5.0,25.121342052082145,-2840.1238893836585,-2839.868219239698,-0.25567014396028753,-0.25024123329787024,0.0026143434043994773,True,The algorithm converged to the desired accuracy.
5,3,1.5,1.0,6.55566827917623,-139.68357671130576,-139.6745564064417,-0.00902030486406602,-0.009020060223620806,5.9769837804216075e-05,True,The algorithm converged to the desired accuracy.
5,3,1.5,1.5,8.911664166190645,-277.98146064944626,-277.9621537383824,-0.019306911063836196,-0.019304512493911442,0.0001847758840078928,True,The algorithm converged to the desired accuracy.
